Metric,Value
Accuracy,0.9402460456942003
Precision,0.9549295774647887
Recall,0.9495798319327731
F1-score,0.952247191011236
ROC AUC,0.9742151577612176
ARI,0.7740159832538671
NMI,0.661057152232675
Silhouette,0.31448870991364997
Calinski-Harabasz,247.28350038068518
Davies-Bouldin,1.3770335909735467
Average Log-Likelihood,0.16937373405936407
AIC,1789.2526906404437
BIC,6094.038200859638
Mean Posterior,0.9995960548195361
Mean Entropy,0.0018137089793543565
Mean Uncertainty,0.0004039451804641319
