FPR,TPR,Threshold
0.0,0.0,inf
0.0047169811320754715,0.17086834733893558,1.0
0.0047169811320754715,0.17366946778711484,0.9999999999999999
0.0047169811320754715,0.1792717086834734,0.9999999999999991
0.0047169811320754715,0.20448179271708683,0.9999999999999982
0.0047169811320754715,0.20728291316526612,0.9999999999999973
0.0047169811320754715,0.21568627450980393,0.9999999999999964
0.0047169811320754715,0.22128851540616246,0.9999999999999947
0.0047169811320754715,0.22969187675070027,0.9999999999999893
0.0047169811320754715,0.23809523809523808,0.9999999999999876
0.0047169811320754715,0.24369747899159663,0.9999999999999858
0.0047169811320754715,0.24649859943977592,0.9999999999999822
0.0047169811320754715,0.2549019607843137,0.9999999999999787
0.0047169811320754715,0.2605042016806723,0.9999999999999769
0.0047169811320754715,0.3137254901960784,0.9999999999994742
0.0047169811320754715,0.31932773109243695,0.9999999999992912
0.0047169811320754715,0.7310924369747899,0.9999999931855212
0.009433962264150943,0.7310924369747899,0.9999999930383048
0.009433962264150943,0.7787114845938375,0.9999999678113435
0.014150943396226415,0.7787114845938375,0.9999999631792693
0.014150943396226415,0.7899159663865546,0.9999999217624818
0.018867924528301886,0.7899159663865546,0.9999999181942945
0.018867924528301886,0.8263305322128851,0.9999997052515947
0.02358490566037736,0.8263305322128851,0.9999996481359792
0.02358490566037736,0.8683473389355743,0.9999981584876929
0.02830188679245283,0.8683473389355743,0.9999978352573344
0.02830188679245283,0.8907563025210085,0.9999900708277598
0.0330188679245283,0.8907563025210085,0.9999892353949538
0.0330188679245283,0.9019607843137255,0.9999860874699962
0.04716981132075472,0.9019607843137255,0.9999576049448534
0.04716981132075472,0.9047619047619048,0.9999470176233658
0.05188679245283019,0.9047619047619048,0.9999457172311859
0.05188679245283019,0.907563025210084,0.9999280128529964
0.05660377358490566,0.907563025210084,0.99985392565691
0.05660377358490566,0.9159663865546218,0.9996816423336083
0.06132075471698113,0.9159663865546218,0.9996771031385224
0.06132075471698113,0.9243697478991597,0.9991277423957102
0.0660377358490566,0.9243697478991597,0.9990218357826993
0.0660377358490566,0.9439775910364145,0.986289942514119
0.07547169811320754,0.9439775910364145,0.9691429328187631
0.07547169811320754,0.9495798319327731,0.91101995240635
0.08962264150943396,0.9495798319327731,0.0018774186188426616
0.08962264150943396,0.9523809523809523,0.0011247145292460718
0.10377358490566038,0.9523809523809523,0.00015709629575801748
0.10377358490566038,0.957983193277311,1.0083681893453849e-05
0.13679245283018868,0.957983193277311,6.944446643170332e-08
0.13679245283018868,0.9607843137254902,6.029826709590516e-08
0.14622641509433962,0.9607843137254902,1.67909758361968e-08
0.14622641509433962,0.9635854341736695,1.544019316997334e-08
0.19339622641509435,0.9635854341736695,1.7053523199063346e-12
0.19339622641509435,0.9663865546218487,7.087478445059008e-13
0.19811320754716982,0.9663865546218487,1.605017218332631e-13
0.19811320754716982,0.969187675070028,4.9226902503119555e-14
0.22169811320754718,0.969187675070028,5.131833816688685e-15
0.22169811320754718,0.9719887955182073,3.642445793386531e-15
0.22641509433962265,0.9719887955182073,8.323423648480334e-16
0.22641509433962265,0.9747899159663865,2.84877351005521e-16
0.25471698113207547,0.9747899159663865,1.3912161595879175e-20
0.25471698113207547,0.9775910364145658,7.575905037476855e-21
0.2830188679245283,0.9775910364145658,4.058625437753532e-24
0.2830188679245283,0.9803921568627451,7.451785698299727e-25
0.330188679245283,0.9803921568627451,7.597835826812077e-28
0.330188679245283,0.9831932773109243,1.4202789038422747e-28
0.3490566037735849,0.9831932773109243,6.3021515647428644e-30
0.3490566037735849,0.9859943977591037,1.2490262134457257e-30
0.42452830188679247,0.9859943977591037,3.099104316641631e-48
0.42452830188679247,0.988795518207283,2.1231163060392593e-49
0.5141509433962265,0.988795518207283,2.1159128933746134e-65
0.5141509433962265,0.9915966386554622,5.075820799321557e-66
0.5943396226415094,0.9915966386554622,6.712782030636015e-84
0.5943396226415094,0.9943977591036415,2.2319278977704533e-85
0.7735849056603774,0.9943977591036415,1.0472795994773906e-174
0.7735849056603774,0.9971988795518207,4.063023900903681e-182
0.8679245283018868,0.9971988795518207,2.678246641597677e-309
1.0,1.0,0.0
