Metric,Value
Average Log-Likelihood,0.16937373405936407
AIC,1789.2526906404437
BIC,6094.038200859638
Mean Posterior,0.9995960548195361
Mean Entropy,0.0018137089793543565
Mean Uncertainty,0.0004039451804641319
