,precision,recall,f1-score,support
0,0.9158878504672897,0.9245283018867925,0.92018779342723,212.0
1,0.9549295774647887,0.9495798319327731,0.952247191011236,357.0
accuracy,0.9402460456942003,0.9402460456942003,0.9402460456942003,0.9402460456942003
macro avg,0.9354087139660392,0.9370540669097828,0.936217492219233,569.0
weighted avg,0.9403832749630843,0.9402460456942003,0.9403023890994446,569.0
